eventid layer signal axis fiberid x/y z energy intensity time
1 -1 GUNout g 0 0 0 392.528 0 0.512373652
1 2 Calorimeter l 0 0 0 392.528 392.528 2.70091
7 -1 GUNout g 0 0 0 502.47 0 0.563840511
7 3 WLS_Slow x 89 -45.109 85.1561 25.4065 8 1.90173
7 3 WLS_Slow x 90 -43.099 85.1561 76.2195 24 1.90173
7 3 WLS_Slow x 91 -41.089 85.1561 95.2744 30 1.90173
7 3 WLS_Slow x 92 -39.079 85.1561 88.9228 28 1.90173
7 3 WLS_Slow x 93 -37.069 85.1561 15.8791 5 1.90173
7 3 WLS_Slow y 59 -105.409 85.1561 15.8791 5 1.92737
7 3 WLS_Slow y 60 -103.399 85.1561 34.9339 11 1.92737
7 3 WLS_Slow y 61 -101.389 85.1561 28.5823 9 1.92737
7 3 WLS_Slow y 62 -99.379 85.1561 41.2856 13 1.90173
7 3 WLS_Slow y 63 -97.369 85.1561 15.8791 5 1.90173
7 3 WLS_Slow y 64 -95.359 85.1561 50.813 16 1.90173
7 3 WLS_Slow y 65 -93.349 85.1561 69.8679 22 1.90173
7 3 Edge_Detector l 0 0 0 502.47 502.47 1.90173
8 -1 GUNout g 0 0 0 1048.89 0 0.418431773
8 1 WLS_Slow x 193 163.931 -74.8439 311.23 98 2.0592
8 1 WLS_Slow x 194 165.941 -74.8439 215.955 68 2.0592
8 1 WLS_Slow y 213 204.131 -74.8439 19.0549 6 2.0592
8 1 WLS_Slow y 214 206.141 -74.8439 111.153 35 2.0592
8 1 WLS_Slow y 215 208.151 -74.8439 146.087 46 2.0592
8 1 WLS_Slow y 216 210.161 -74.8439 130.208 41 2.0592
8 1 WLS_Slow y 217 212.171 -74.8439 98.4502 31 2.0592
8 1 WLS_Slow y 218 214.181 -74.8439 28.5823 9 2.0592
8 1 Edge_Detector l 0 0 0 1048.89 1048.89 2.0592
10 -1 GUNout g 0 0 0 467.944 0 0.536109882
10 2 WLS_Fast x 208 194.081 8.66609 95 19 2.02747
13 -1 GUNout g 0 0 0 357.33 0 0.127329870
13 2 WLS_Slow x 24 -175.759 5.15608 28.5823 9 1.66199
13 2 WLS_Slow x 25 -173.749 5.15608 57.1646 18 1.66199
13 2 WLS_Slow x 26 -171.739 5.15608 44.4614 14 1.66199
13 2 WLS_Slow x 27 -169.729 5.15608 41.2856 13 1.66199
13 2 WLS_Slow x 28 -167.719 5.15608 12.7033 4 1.66199
13 2 WLS_Slow y 123 23.231 5.15608 3.17581 1 1.66199
13 2 WLS_Slow y 124 25.241 5.15608 66.6921 21 1.66199
13 2 WLS_Slow y 125 27.251 5.15608 95.2744 30 1.66199
13 2 WLS_Slow y 126 29.261 5.15608 15.8791 5 1.66199
13 2 Edge_Detector l 0 0 0 357.33 357.33 1.66199
23 -1 GUNout g 0 0 0 490.946 0 0.644990201
23 1 WLS_Fast x 127 31.271 -71.3339 50 10 2.45636
23 1 WLS_Slow x 125 27.251 -74.8439 22.2307 7 2.47895
23 1 WLS_Slow x 126 29.261 -74.8439 19.0549 6 2.47895
23 1 WLS_Slow x 127 31.271 -74.8439 12.7033 4 2.47895
23 1 WLS_Slow x 128 33.281 -74.8439 15.8791 5 2.47895
23 1 WLS_Slow y 186 149.861 -74.8439 34.9339 11 2.47895
23 1 WLS_Slow y 187 151.871 -74.8439 12.7033 4 2.47895
23 1 Edge_Detector l 0 0 0 104.21 104.21 2.47895
24 -1 GUNout g 0 0 0 945.109 0 0.514638674
24 2 WLS_Slow x 202 182.021 5.15608 15.8791 5 2.00381
24 2 WLS_Slow x 203 184.031 5.15608 63.5163 20 2.00381
24 2 WLS_Slow x 204 186.041 5.15608 66.6921 21 2.00381
24 2 WLS_Slow x 205 188.051 5.15608 66.6921 21 2.00381
24 2 WLS_Slow x 206 190.061 5.15608 47.6372 15 2.00381
24 2 WLS_Slow x 207 192.071 5.15608 6.35163 2 2.00381
24 2 WLS_Slow y 65 -93.349 5.15608 22.2307 7 2.00381
24 2 WLS_Slow y 66 -91.339 5.15608 142.912 45 2.00381
24 2 WLS_Slow y 67 -89.329 5.15608 107.978 34 2.00381
24 2 Edge_Detector l 0 0 0 489.829 489.829 2.00381
49 -1 GUNout g 0 0 0 512.273 0 0.656466811
49 2 WLS_Slow x 90 -43.099 5.15608 25.4065 8 2.42048
49 2 WLS_Slow x 91 -41.089 5.15608 73.0437 23 2.42048
49 2 WLS_Slow x 92 -39.079 5.15608 57.1646 18 2.42048
49 2 WLS_Slow x 93 -37.069 5.15608 6.35163 2 2.42048
49 2 WLS_Slow y 92 -39.079 5.15608 38.1098 12 2.42048
49 2 WLS_Slow y 93 -37.069 5.15608 57.1646 18 2.42048
49 2 WLS_Slow y 94 -35.059 5.15608 31.7581 10 2.42048
49 2 WLS_Slow y 95 -33.049 5.15608 31.7581 10 2.42048
49 2 Edge_Detector l 0 0 0 358.02 358.02 2.42048
49 3 WLS_Slow x 32 -159.679 85.1561 6.35163 2 1.95182
49 3 WLS_Slow x 33 -157.669 85.1561 12.7033 4 1.95182
49 3 WLS_Slow x 34 -155.659 85.1561 15.8791 5 1.95182
49 3 WLS_Slow x 35 -153.649 85.1561 19.0549 6 1.95182
49 3 WLS_Slow x 36 -151.639 85.1561 6.35163 2 1.95182
49 3 WLS_Slow x 37 -149.629 85.1561 6.35163 2 1.95182
49 3 WLS_Slow y 106 -10.939 85.1561 79.3953 25 1.95182
49 3 Edge_Detector l 0 0 0 154.253 154.253 1.95182
57 -1 GUNout g 0 0 0 588.561 0 0.199004275
57 3 WLS_Slow x 145 67.451 85.1561 38.1098 12 1.54022
57 3 WLS_Slow x 146 69.461 85.1561 31.7581 10 1.54022
57 3 WLS_Slow y 86 -51.139 85.1561 6.35163 2 1.54022
57 3 WLS_Slow y 87 -49.129 85.1561 9.52744 3 1.54022
57 3 WLS_Slow y 88 -47.119 85.1561 9.52744 3 1.54022
57 3 WLS_Slow y 89 -45.109 85.1561 3.17581 1 1.54022
57 3 WLS_Slow y 90 -43.099 85.1561 15.8791 5 1.54022
57 3 WLS_Slow y 91 -41.089 85.1561 9.52744 3 1.54022
57 3 WLS_Slow y 92 -39.079 85.1561 3.17581 1 1.54022
57 3 Edge_Detector l 0 0 0 124.585 124.585 1.54022
60 -1 GUNout g 0 0 0 425.473 0 0.358829637
60 1 WLS_Slow x 207 192.071 -74.8439 34.9339 11 2.1313
60 1 WLS_Slow x 208 194.081 -74.8439 57.1646 18 2.1313
60 1 WLS_Slow x 209 196.091 -74.8439 63.5163 20 2.1313
60 1 WLS_Slow x 210 198.101 -74.8439 38.1098 12 2.1313
60 1 WLS_Slow y 106 -10.939 -74.8439 41.2856 13 2.1313
60 1 WLS_Slow y 107 -8.92899 -74.8439 57.1646 18 2.1313
60 1 WLS_Slow y 108 -6.91899 -74.8439 44.4614 14 2.1313
60 1 Edge_Detector l 0 0 0 425.473 425.473 2.1313
73 -1 GUNout g 0 0 0 701.473 0 0.486684533
73 2 WLS_Slow x 189 155.891 5.15608 22.2307 7 1.92496
73 2 WLS_Slow x 190 157.901 5.15608 53.9888 17 1.92496
73 2 WLS_Slow x 191 159.911 5.15608 31.7581 10 1.92496
73 2 WLS_Slow x 192 161.921 5.15608 38.1098 12 1.92496
73 2 WLS_Slow x 193 163.931 5.15608 53.9888 17 1.92496
73 2 WLS_Slow x 194 165.941 5.15608 22.2307 7 1.92496
73 2 WLS_Slow y 199 175.991 5.15608 60.3404 19 1.92496
73 2 WLS_Slow y 200 178.001 5.15608 66.6921 21 1.92496
73 2 Edge_Detector l 0 0 0 374.978 374.978 1.92496
76 -1 GUNout g 0 0 0 490.224 0 0.530652469
76 3 Calorimeter l 0 0 0 490.224 490.224 2.48975
80 -1 GUNout g 0 0 0 407.132 0 0.780951906
80 3 WLS_Slow x 52 -119.479 85.1561 38.1098 12 2.10068
80 3 WLS_Slow x 53 -117.469 85.1561 139.736 44 2.10068
80 3 WLS_Slow x 54 -115.459 85.1561 9.52744 3 2.10068
80 3 WLS_Slow y 111 -0.888994 85.1561 47.6372 15 2.10068
80 3 WLS_Slow y 112 1.12101 85.1561 53.9888 17 2.10068
80 3 WLS_Slow y 113 3.13101 85.1561 66.6921 21 2.10068
80 3 WLS_Slow y 114 5.14101 85.1561 25.4065 8 2.10068
80 3 WLS_Slow y 115 7.15101 85.1561 19.0549 6 2.10068
80 3 Edge_Detector l 0 0 0 407.132 407.132 2.10068
83 -1 GUNout g 0 0 0 695.792 0 0.327847340
83 3 WLS_Slow x 159 95.591 85.1561 6.35163 2 1.65751
83 3 WLS_Slow x 160 97.601 85.1561 44.4614 14 1.65751
83 3 WLS_Slow x 161 99.611 85.1561 34.9339 11 1.65751
83 3 WLS_Slow y 90 -43.099 85.1561 6.35163 2 1.65751
83 3 WLS_Slow y 91 -41.089 85.1561 25.4065 8 1.65751
83 3 WLS_Slow y 92 -39.079 85.1561 25.4065 8 1.65751
83 3 WLS_Slow y 93 -37.069 85.1561 9.52744 3 1.65751
83 3 WLS_Slow y 94 -35.059 85.1561 19.0549 6 1.65751
83 3 Edge_Detector l 0 0 0 180.69 180.69 1.65751
86 -1 GUNout g 0 0 0 939.891 0 0.714810917
86 1 Calorimeter l 0 0 0 61.7104 61.7104 3.05659
